sentence,source,target,label,llm_label
"To delve deeper into the mechanistic aspects, we conducted chemogenetic activation experiments on LC Norepinephrine neurons with two doses of Clozapine N-oxide (CNO)",Norepinephrine,Clozapine,Component-Whole,cause-effect
"Moreover, ultrasonication enhanced the amounts of essential Amino acids, including Glutamic acid, alanine, and glycine as well as the free amino acid content, which gives meat its savory and umami flavor",Amino acids,Glutamic acid,Component-Whole,component-whole
"Chicken breasts were cured with different ingredients, including 4% (w/w) curing agent (GC), 5% (w/w) Aspergillus oryzae with rice (FR), A",Chicken,Aspergillus oryzae,Component-Whole,component-whole
"BACKGROUND
Previous studies have suggested that administration of epidural 3% 2-chloroprocaine (CP) before epidural Morphine results in decreased analgesic efficacy of epidural Morphine",before epidural Morphine,of epidural Morphine,Cause-Effect,cause-effect
"Similarly, Histamine receptors in mast cells were significantly reduced after two different dosage of Bicalutamide treatment",Histamine,Bicalutamide,Component-Whole,cause-effect
"The illegal addition of Metronidazole during cosmetics production can result in residual 2-methylimidazole (2-MEI), which, along with 4-Methylimidazole (4-MEI), is a class 2B carcinogen",Metronidazole,4-Methylimidazole,Cause-Effect,cause-effect
"Tween® and Span® as the non-ionic surfactant, Polyvinyl alcohol), and gelling agents including cellulose derivatives such as hydroxypropyl Methylcellulose (HPMC), hydroxyethylcellulose (HEC) and carboxymethyl cellulose (CMC) in different concentrations are used in emulgel preparation",Polyvinyl alcohol,Methylcellulose,Component-Whole,component-whole
"However, due to its poor Water solubility, commercially available formulations contain alcohol and Propylene glycol in a concentration that causes skin reactions such as irritation and dryness",Water,Propylene glycol,Component-Whole,component-whole
Two low-dose groups of oral formulations (ritlecitinib 10mg and Ivarmacitinib 2mg) and two topical formulations (Delgocitinib ointment and ruxolitinib cream) appeared to be relatively ineffective against moderate-to-severe AA,Ivarmacitinib,Delgocitinib,Component-Whole,component-whole
"However, increasing Mannose-6-phosphate levels resulted in increased cell uptake in vitro and increased glycogen clearance and transcriptional correction in Pompe mice, further underscoring the crucial role of cation-independent Mannose-6-phosphate receptor-mediated lysosomal targeting for ERTs.","However, increasing Mannose",of cation-independent Mannose,Cause-Effect,cause-effect
"The pH (2.4) (45:55), obtained the optimum decaffeination conditions at the concentration of bacteria &lt;i&gt;Bacillus subtilis&lt;/i&gt; 6% and a long incubation time of 24 hrs resulted in a decrease in Caffeine content of 51.3843±0.2503%",Bacillus subtilis,Caffeine,Cause-Effect,cause-effect
"10 out of 12 (83.3%) patients received Montelukast, two (16.7%) Cyclosporine, two (16.7%) dapsone and one (8.3%) hydroxychloroquine as a third drug for chronic urticaria",Montelukast,Cyclosporine,Component-Whole,component-whole
