sentence,source,target,label,llm_label,title,abstract,doi
"To delve deeper into the mechanistic aspects, we conducted chemogenetic activation experiments on LC Norepinephrine neurons with two doses of Clozapine N-oxide (CNO)",Norepinephrine,Clozapine,Component-Whole,cause-effect,Indole induces anxiety-like behaviour in mice mediated by brainstem locus coeruleus activation.,"The gut microbiota produces metabolites that enrich the host metabolome and play a part in host physiology, including brain functions. Yet the biological mediators of this gut-brain signal transduction remain largely unknown. In this study, the possible role of the gut microbiota metabolite indole, originating from tryptophan, was investigated. Oral administration of indole to simulate microbial overproduction of this compound in the gut consistently led to impaired locomotion and anxiety-like behaviour in both C3H/HeN and C57BL/6J mice. By employing c-Fos protein expression mapping in mice, we observed a noticeable increase in brain activation within the dorsal motor nucleus of the vagus nerve (DMX) and the locus coeruleus (LC) regions in a dose-dependent manner. Further immune co-labelling experiments elucidated that the primary cells activated within the LC were tyrosine hydroxylase positive. To delve deeper into the mechanistic aspects, we conducted chemogenetic activation experiments on LC norepinephrine neurons with two doses of clozapine N-oxide (CNO). Low dose of CNO at 0.5 mg/kg induced no change in locomotion but anxiety-like behaviour, while high dose of CNO at 2 mg/kg resulted in locomotion impairment and anxiety-like behaviour. These findings support the neuroactive roles of indole in mediating gut-brain communication. It also highlights the LC as a novel hub in the gut-brain axis, encouraging further investigations.",10.1016/j.nbd.2024.106606
"Moreover, ultrasonication enhanced the amounts of essential Amino acids, including Glutamic acid, alanine, and glycine as well as the free amino acid content, which gives meat its savory and umami flavor",Amino acids,Glutamic acid,Component-Whole,component-whole,"Enhancing chicken breast meat quality through ultrasonication: Physicochemical, palatability, and amino acid profiles.","Ultrasonication, a technology that employs high-frequency sound waves, has demonstrated potential for modifying the properties of various food items. However, the effect of ultrasonication on chicken meat, particularly concerning amino acid composition and flavor enhancement, has not been sufficiently investigated. The objective of this research was to bridge the gap in the literature by exploring the impact of various ultrasonic treatments at varying power levels (300, 500, and 800 W) and durations (10 and 30 min) on the physicochemical characteristics, texture, and amino acid profile of chicken breast meat, with a focus on improving its palatability and flavor. The results indicated that ultrasonication reduced the pH and cooking loss, as well as hardness and chewiness while simultaneously increasing lightness and yellowness values of chicken breast meat. Moreover, ultrasonication enhanced the amounts of essential amino acids, including glutamic acid, alanine, and glycine as well as the free amino acid content, which gives meat its savory and umami flavor. Furthermore, the results demonstrated significant changes in the texture and structure, as demonstrated by the scanning electron microscopy (SEM) images, and in chemical makeup of chicken breast meat, as indicated by the FTIR spectra. These modifications in the molecular and microstructural characteristics of meat, as induced by ultrasonication, may contribute to the enhancement of tenderness, juiciness, and overall palatability.",10.1016/j.ultsonch.2024.106824
"Chicken breasts were cured with different ingredients, including 4% (w/w) curing agent (GC), 5% (w/w) Aspergillus oryzae with rice (FR), A",Chicken,Aspergillus oryzae,Component-Whole,component-whole,The Effect of Fermented Grains (koji) on Physicochemical and Sensory Characteristics of Chicken Breasts.,"This study investigated the tenderizing and flavor-enhancing effects of koji, a fermented grain cultured with a single microorganism, on chicken breasts during curing. Chicken breasts were cured with different ingredients, including 4% (w/w) curing agent (GC), 5% (w/w) Aspergillus oryzae with rice (FR), A. oryzae with soybean (FS), and Bacillus subtilis with soybean (BS) for 4 h at 4 °C prior to cooking. After the superheated steam procedure, all samples were cooked in a convection oven, and their physicochemical properties were analyzed. Koji-treated samples exhibited significantly higher expressible moisture due to the degradation of the protein matrix (p < 0.05). Texture profile analysis showed that the tenderness of koji-treated samples was significantly higher than that of GC (p < 0.05). Furthermore, koji-treated samples were regarded as tenderer, and they were preferred over GC (p < 0.05) in the sensory evaluation. Principal attributes analysis revealed that the overall preference for koji-treated samples was highly correlated with umami, juiciness, and tenderness (p < 0.05). Overall, this study provides insights into applying koji as a potential curing treatment to improve the eating quality of chicken breasts. Koji can be used as a novel technology in the food industry to improve taste and tenderness simultaneously.",10.3390/foods12183463
"BACKGROUND
Previous studies have suggested that administration of epidural 3% 2-chloroprocaine (CP) before epidural Morphine results in decreased analgesic efficacy of epidural Morphine",before epidural Morphine,of epidural Morphine,Cause-Effect,cause-effect,Postcesarean Analgesia With Epidural Morphine After Epidural 2-Chloroprocaine: A Randomized Noninferiority Trial.,"BACKGROUND
Previous studies have suggested that administration of epidural 3% 2-chloroprocaine (CP) before epidural morphine results in decreased analgesic efficacy of epidural morphine. We sought to determine whether these observations were a result of antagonism or a window period between the conclusion of surgical anesthesia for cesarean delivery and the peak onset time of epidural morphine, and whether a method to preserve the analgesic efficacy of epidural morphine exists.


METHODS
Term parturients scheduled for nonemergent, unscheduled cesarean delivery with preexisting labor epidural catheters were recruited for this exploratory, randomized, single-blinded, noninferiority trial. Subjects were randomized to initial dosing to a T4 dermatome surgical anesthetic level with either 3% CP or 2% lidocaine with 1:200,000 epinephrine and sodium bicarbonate (LEB). Subsequent redosing for both groups was performed with LEB at regular intervals. Epidural morphine 3 mg was administered to both groups after delivery. Assessing the difference between the 2 groups in total opioid use for the first 24 hours after epidural morphine administration was the primary objective. The noninferiority margin of 10 oral milligram morphine equivalents was prespecified based on previous noninferiority studies. Secondary end points included time from epidural morphine administration to first rescue opioid request, numerical pain scores, nausea/vomiting, and pruritus.


RESULTS
Data were analyzed for 40 parturients, 20 in each group. The median 24-hour opioid consumption for the CP group was 0 (Q1 = 0 and Q3 = 15.6) oral milligram morphine equivalents compared to 15 (6.3-22.5) for the LEB group. The median difference was -7.5, with a 95% confidence interval -15 to 0. Noninferiority was concluded, as the confidence interval was less than the predetermined noninferiority margin of 10 oral milligram morphine equivalents. There was no treatment effect on time to first opioid request and no statistically significant differences in pain scores or nausea, vomiting, or pruritus at all time points (4, 8, 12, and 24 hours after epidural morphine administration).


CONCLUSION
While designed as an exploratory study, initial epidural dosing with 3% CP and beginning subsequent redosing with LEB within 30 minutes of the initial CP bolus provided noninferior postcesarean analgesia with epidural morphine compared to initial epidural dosing and redosing with LEB. Previous observations of decreased analgesic efficacy of epidural morphine after epidural CP were likely due to a window period that may be mitigated by redosing with lidocaine; however, larger studies are necessary to confirm these findings.",10.1213/ANE.0000000000006109
"Similarly, Histamine receptors in mast cells were significantly reduced after two different dosage of Bicalutamide treatment",Histamine,Bicalutamide,Component-Whole,cause-effect,"Bicalutamide, an androgen receptor antagonist, effectively alleviate allergic rhinitis via suppression of PI3K-PKB activity.","OBJECTIVES
To investigate the therapeutic effect of Bicalutamide, an androgen receptor antagonist on the onset and development of allergic rhinitis in an animal model.


METHODS
40 male BALB/c mice were randomly divided into five groups (eight mice per group). Aluminum hydroxide powder was used as an adjuvant, combined with Ovalbumin (OVA) to establish the mouse model of allergic rhinitis via ultrasonic nebulization of OVA to stimulate the nasal cavity. Mice in Bica#1 group were intraperitoneally injected with 0.02 mg Bicalutamide/0.5 ml of normal saline daily for 7 consecutive days; mice in Bica#2 group were administered 0.02 mg Bicalutamide/0.5 ml of normal saline via intraperitoneal injection for 5 consecutive days, and then the same amount of normal saline was injected intraperitoneally for 2 consecutive days. Enzyme-linked immunosorbent assay was adopted to detect the serological levels of IgE, IL-4, and IL-6 production. Eosinophil infiltration was observed under microscope after hematoxylin and eosin staining of nasal mucosa. Quantitative PCR and Western blot were employed for determination of histamine receptors mRNA expression and PI3K/PKB associated protein levels, respectively.


RESULTS
Histological analysis shown that allergic lesion was induced after OVA sensitization. Intraperitoneal injection with 0.02 mg Bicalutamide daily for 7 consecutive days significantly reduced the allergic lesion; however, mice injected with the same amount of normal saline at the same time demonstrated no allergic rhinitis symptoms. In addition, there was a significant reduction in eosinophils number in Bicalutamide treated mice (n = 8) compared to the OVA group (n = 8) (OVA: 19.6 ± 5.3 vs. Bica#1: 7.7 ± 0.8 vs. Bica#2: 9.4 ± 1.2, both p < 0.01). Furthermore, ELISA results revealed that the serological levels of IgE (OVA: 17.3 ± 1.7 µg/ml vs. Bica#1: 9.2 ± 0.6 vs. Bica#2: 10.4 ± 2.3, both p < 0.05), IL-4 (OVA: 164.3 ± 5.1 pg/ml vs. Bica#1: 110.2 ± 3.1 vs. Bica#2: 115.3 ± 4.1, both p < 0.05) and IL-6 (OVA: 167.3 ± 3.7 pg/ml vs. Bica#1: 117.5 ± 6.5 vs. Bica#2: 114.8 ± 2.4, both p < 0.05) were significantly decreased after two different dosage of Bicalutamide treatment. Similarly, histamine receptors in mast cells were significantly reduced after two different dosage of Bicalutamide treatment. More importantly, p-PKB protein was notably reduced after two different dosage of Bicalutamide treatment compared to the OVA group, mTOR protein levels were also down regulated after two different dosage of Bicalutamide treatment.


CONCLUSIONS
Our data demonstrated that androgen receptor antagonist Bicalutamide can significantly alleviate allergic rhinitis lesion in the animal model. PI3K/PKB activity in mast cells was suppressed after Bicalutamide injection. Our results provide important implication in allergic rhinitis prevention and treatment.",10.1007/s00405-022-07538-w
"The illegal addition of Metronidazole during cosmetics production can result in residual 2-methylimidazole (2-MEI), which, along with 4-Methylimidazole (4-MEI), is a class 2B carcinogen",Metronidazole,4-Methylimidazole,Cause-Effect,cause-effect,[Determination of three methylimidazole compounds in cosmetics by high performance liquid chromatography-tandem mass spectrometry].,"Methylimidazole compounds are byproducts formed during the caramel-coloring process and are used in various cosmetics. In addition metronidazole is an antibacterial and anti-inflammatory drug commonly used in modern medicine and is used in cosmetics to treat acne in the short-term. The illegal addition of metronidazole during cosmetics production can result in residual 2-methylimidazole (2-MEI), which, along with 4-methylimidazole (4-MEI), is a class 2B carcinogen. Therefore, establishing efficient, accurate, and sensitive analytical techniques for analyzing methylimidazole compounds in cosmetics is an urgent objective. In this study, a high performance liquid chromatography-tandem mass spectrometry (HPLC-MS/MS) method for simultaneously determining 1-methylimidazole (1-MEI), 2-MEI, and 4-MEI in cosmetics was developed. Cosmetics samples were extracted via ultrasonication in acetonitrile and purified using a mixed cation-exchange (MCX) solid-phase extraction (SPE) column, with subsequent drying under a stream of nitrogen and redissolution in acetonitrile. The resulting solution was then filtered through a 0.22 μm organic filter membrane for further testing. The analytes were separated using an XBridge® shield RP18 chromatographic column (150 mm×4.6 mm, 3.5 μm) and isocratically eluted with 20 mmol/L ammonium formate solution (containing 0.1% formic acid)-acetonitrile (98∶2, v/v). The target compounds were ionized by electrospray ionization (ESI) source, analyzed in multi-reaction monitoring (MRM) mode, and quantified using the external standard method, with the peak area of the quantitative ion and the mass concentration of the compound taken as the longitudinal and transverse coordinates, respectively. Matrix-matching working curves were also constructed. 1-MEI exhibited good linear relationships in the range of 5-200 μg/L, with correlation coefficients (r2)≥0.9994, while 2-MEI and 4-MEI showed good linearities in the range of 2-100 μg/L with r2≥0.9984. The three methylimidazole compounds exhibited limits of detection (LODs) and quantification (LOQs) of 10-30 μg/kg and 25-100 μg/kg, respectively. Under three spiked levels (LOQ, 2LOQ, 10LOQ), the recoveries of three methylimidazole compounds were 80.9%-107.9%, with relative standard deviations (RSDs, n=6) of 1.2%-12.8%. The practicability of the method was examined using 48 cosmetic samples; 4-MEI was detected in nine samples at contents of 26-1000 μg/kg, while two samples contained 240 and 267 μg/kg of 2-MEI, respectively. 1-MEI was not detected in any of the 48 samples tested. The developed method is simple, fast, and highly sensitive, and provides methodological support for assessing risks and monitoring the three methylimidazole compounds in cosmetics through screening.",10.3724/SP.J.1123.2023.11011
"Tween® and Span® as the non-ionic surfactant, Polyvinyl alcohol), and gelling agents including cellulose derivatives such as hydroxypropyl Methylcellulose (HPMC), hydroxyethylcellulose (HEC) and carboxymethyl cellulose (CMC) in different concentrations are used in emulgel preparation",Polyvinyl alcohol,Methylcellulose,Component-Whole,component-whole,Cellulose derivatives and natural gums as gelling agents for preparation of emulgel-based dosage forms: A brief review.,"Incorporation of an emulsion onto a gel base develops a drug delivery system with improved characteristics, known as emulgel, that can envelop both hydrophilic and lipophilic molecules, and therefore increase stability and penetration of topical formulations. Such a drug delivery system provides controlled drug release that has more patient compliance and higher therapeutic efficacy. Emulgel is prepared in three main stages, preparation of water-in-oil or oil-in-water emulsion, providing the gel base, and incorporation of prepared emulsion onto gel base with continuous stirring. Various materials such as different oils (e.g. sesame oil, balsam oil, and mineral oil), emulsifiers (e.g. Tween® and Span® as the non-ionic surfactant, polyvinyl alcohol), and gelling agents including cellulose derivatives such as hydroxypropyl methylcellulose (HPMC), hydroxyethylcellulose (HEC) and carboxymethyl cellulose (CMC) in different concentrations are used in emulgel preparation. The physical properties, particle size distribution, spreadability, permeation, and drug release rate are evaluated in their development and characterization. They are used in skin disorders and other diseases such as chronic anal fisher. Also, anti-acne, analgesic, and anti-inflammatory drugs have been formulated as emulgel delivery system and their effects have been studied. In this article, the subject is to review the characteristics, preparation methods, and therapeutic efficacy as well as the potential clinical use of emulgels.",10.1016/j.ijbiomac.2023.124538
"However, due to its poor Water solubility, commercially available formulations contain alcohol and Propylene glycol in a concentration that causes skin reactions such as irritation and dryness",Water,Propylene glycol,Component-Whole,component-whole,"Hair regrowth boosting via minoxidil cubosomes: Formulation development, in vivo hair regrowth evaluation, histopathological examination and confocal laser microscopy imaging.","Minoxidil has been used as an effective and cost-efficient topical treatment for androgenic alopecia. However, due to its poor water solubility, commercially available formulations contain alcohol and propylene glycol in a concentration that causes skin reactions such as irritation and dryness. Therefore, nanotechnology-based formulations can offer an alternative that might increase penetration and deposition of the drug in the skin while minimizing its adverse reactions. Minoxidil cubosomes (MXD-CUB) were prepared by melt dispersion emulsification technique according to full 23 factorial design. Three independent variables, namely, the dispersed phase concentration, glyceryl monooleate: Poloxamer 407 ratio and Tween 80 concentration were tested. Particle size, polydispersity index and the zeta potential were the dependent variables. The optimized formula was investigated by transmission electron microscopy, X-ray diffractometry and in vitro release test. In vivo study included Draize test, histopathological examination, hair regrowth efficacy and confocal laser scanning microscopy (CLSM). Particle size, zeta potential and polydispersity index of the optimal MXD-CUB were measured to be 131.10 ± 1.41 nm, -23.5 ± 0.42 mV and 0.185 ± 0.0, respectively, and its entrapment efficiency was 80.4 ± 4.04 %. Draize test and histopathological testing proved safety and tolerability of MXD-CUB. In vivo hair regrowth study revealed greater hair growth boosting effect of the prepared cubosomes compared to minoxidil solution. CLSM proved superior penetration and retention of rhodamine B-loaded cubosomes in the skin compared to rhodamine B solution. Therefore, MXD-CUB can be a safe and effective dosage form for minoxidil that overcome the drawbacks of the commercial formulations.",10.1016/j.ijpharm.2023.122665
Two low-dose groups of oral formulations (ritlecitinib 10mg and Ivarmacitinib 2mg) and two topical formulations (Delgocitinib ointment and ruxolitinib cream) appeared to be relatively ineffective against moderate-to-severe AA,Ivarmacitinib,Delgocitinib,Component-Whole,component-whole,Comparative efficacy and safety of JAK inhibitors in the treatment of moderate-to-severe alopecia areata: a systematic review and network meta-analysis.,"We performed a Bayesian network meta-analysis to indirectly compare the relative efficacy and safety of the latest JAK inhibitors for moderate-to-severe alopecia areata (AA). 13 trials totaling 3,613 patients were included. Two low-dose groups of oral formulations (ritlecitinib 10mg and ivarmacitinib 2mg) and two topical formulations (delgocitinib ointment and ruxolitinib cream) appeared to be relatively ineffective against moderate-to-severe AA. Ranking analysis suggested that brepocitinib 30mg has the best relative effect in reducing the SALT score (sucra = 0.9831), and demonstrated comparable efficacy to deuruxolitinib 12mg (sucra = 0.9245), followed by deuruxolitinib 8mg (sucra = 0.7736). Regarding the SALT50 response, brepocitinib 30mg ranked highest (sucra = 0.9567), followed by ritlecitinib 50mg (sucra = 0.8689) and deuruxolitinib 12mg (sucra = 0.7690). For achieving the SALT75 response, deuruxolitinib 12mg had the highest probability (sucra = 0.9761), followed by deuruxolitinib 8mg (sucra = 0.8678) and brepocitinib 30mg (sucra = 0.8448). Deuruxolitinib 12mg might be the most effective therapy for patients with severe AA (sucra = 0.9395), followed by ritlecitinib 50mg (sucra = 0.8753) and deuruxolitinib 8mg (sucra = 0.8070). Deuruxolitinib 12mg/8mg demonstrated notable efficacy for moderate-to-severe AA, and is expected to be a new treatment option for AA. It was worth noting that deuruxolitinib exhibit a greater likelihood of causing adverse events in comparison to other JAK inhibitors. Ritlecitinib 50mg seemed to exhibit fewer adverse effects in the high-dose groups of oral JAK inhibitors and might be an optimal choice to balance safety and efficacy. The majority of JAK inhibitors exhibited acceptable short-term safety profiles. To enhance the applicability and accuracy of our research, further head-to-head trials with longer follow-up periods are needed. Systematic Review Registration: identifier [CRD42022368012].",10.3389/fphar.2024.1372810
"However, increasing Mannose-6-phosphate levels resulted in increased cell uptake in vitro and increased glycogen clearance and transcriptional correction in Pompe mice, further underscoring the crucial role of cation-independent Mannose-6-phosphate receptor-mediated lysosomal targeting for ERTs.","However, increasing Mannose",of cation-independent Mannose,Cause-Effect,cause-effect,Increasing Enzyme Mannose-6-Phosphate Levels but Not Miglustat Coadministration Enhances the Efficacy of Enzyme Replacement Therapy in Pompe Mice.,"Pompe disease is a rare glycogen storage disorder caused by a deficiency in the lysosomal enzyme acid α-glucosidase, which leads to muscle weakness, cardiac and respiratory failure, and early mortality. Alglucosidase alfa, a recombinant human acid α-glucosidase, was the first approved treatment of Pompe disease, but its uptake into skeletal muscle via the cation-independent mannose-6-phosphate (M6P) receptor (CIMPR) is limited. Avalglucosidase alfa has received marketing authorization in several countries for infantile-onset and/or late-onset Pompe disease. This recently approved enzyme replacement therapy (ERT) was glycoengineered to maximize CIMPR binding through high-affinity interactions with ∼7 bis-M6P moieties. Recently, small molecules like the glucosylceramide synthase inhibitor miglustat were reported to increase the stability of recombinant human acid α-glucosidase, and it was suggested that an increased serum half-life would result in better glycogen clearance. Here, the effects of miglustat on alglucosidase alfa and avalglucosidase alfa stability, activity, and efficacy in Pompe mice were evaluated. Although miglustat increased the stability of both enzymes in fluorescent protein thermal shift assays and when incubated in neutral pH buffer over time, it reduced their enzymatic activity by ∼50%. Improvement in tissue glycogen clearance and transcriptional dysregulation in Pompe mice correlated with M6P levels but not with miglustat coadministration. These results further substantiate the crucial role of CIMPR binding in lysosomal targeting of ERTs. SIGNIFICANCE STATEMENT: This work describes important new insights into the treatment of Pompe disease using currently approved enzyme replacement therapies (ERTs) coadministered with miglustat. Although miglustat increased the stability of ERTs in vitro, there was no positive impact to glycogen clearance and transcriptional correction in Pompe mice. However, increasing mannose-6-phosphate levels resulted in increased cell uptake in vitro and increased glycogen clearance and transcriptional correction in Pompe mice, further underscoring the crucial role of cation-independent mannose-6-phosphate receptor-mediated lysosomal targeting for ERTs.",10.1124/jpet.123.001593
